rank,name,location,median_SAT_ACT_score,est_price_2018_19_without_aid,est_price_2018-19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings
456,Presbyterian College,"Clinton, SC",1110/25,53200,21200,100%,26100,46000
457,Transylvania University,"Lexington, KY",NA/NA,51800,25400,100%,27000,46000
458,Northwood University,"Midland, MI",1000/22,41300,24200,85%,21800,45600
459,Rider University,"Lawrenceville, NJ",1010/22,61100,31200,98%,25800,48700
460,Azusa Pacific University,"Azusa, CA",1020/23,53700,30600,98%,22500,47200
461,Worcester State University,"Worcester, MA",1010/24,26300,16800,81%,20000,47600
462,DeSales University,"Center Valley, PA",1060/25,53600,27400,94%,26000,47400
462,University of Northwestern-St Paul,"Saint Paul, MN",1100/24,44400,25600,97%,22100,42900
464,Framingham State University,"Framingham, MA",990/23,26800,18300,81%,24700,46900
465,University of Nevada-Reno,"Reno, NV",1090/24,24800,16100,77%,18800,50300
466,University of Wisconsin-River Falls,"River Falls, WI",NA/23,20400,15100,57%,22700,44400
467,Saint Edward's University,"Austin, TX",1110/25,60100,26400,90%,25300,45600
468,Franklin College,"Franklin, IN",970/22,45400,23700,100%,27000,45100
469,Lincoln Memorial University,"Harrogate, TN",1000/22,37400,17500,NA,17000,41100
470,University of North Carolina School of the Arts,"Winston-Salem, NC",1140/25,22500,14400,86%,27000,44200
471,Biola University,"La Mirada, CA",1090/24,55800,34700,98%,24500,47000
472,Wagner College,"Staten Island, NY",NA/NA,63700,29200,99%,26400,53900
472,Central Connecticut State University,"New Britain, CT",1000/22,25800,15900,61%,22500,49900
474,American University,"Washington, DC",1250/29,65800,34100,87%,24300,51800
474,Lakeland University,"Plymouth, WI",910/19,42200,22800,86%,25500,45200
476,Marian University,"Fond Du Lac, WI",NA/20,39900,23200,98%,27000,46100
477,Xavier University,"Cincinnati, OH",1100/26,53600,29800,67%,27000,48600
478,Washington & Jefferson College,"Washington, PA",NA/NA,61600,29100,85%,27000,45800
479,Willamette University,"Salem, OR",NA/NA,63800,35000,99%,26000,47700
480,Longwood University,"Farmville, VA",970/21,27600,20200,76%,25000,44500
481,University of Puget Sound,"Tacoma, WA",NA/NA,65000,43400,99%,27000,50500
482,Otis College of Art and Design,"Los Angeles, CA",NA/NA,66200,42300,99%,27000,49600
482,Iona College,"New Rochelle, NY",1000/23,57200,29000,41%,26000,52000
484,MidAmerica Nazarene University,"Olathe, KS",890/22,43100,19800,96%,18800,45700
484,Texas State University,"San Marcos, TX",1030/23,23200,13600,81%,21300,46900
486,Ball State University,"Muncie, IN",1080/22,24900,14400,59%,25000,43100
487,Unity College,"Unity, ME",NA/NA,41500,27000,100%,27000,38400
488,The Sage Colleges,"Troy, NY",NA/NA,46500,21600,74%,23300,43200
489,Georgian Court University,"Lakewood, NJ",950/20,52200,24000,97%,25000,42700
490,Trinity College,"Hartford, CT",NA/NA,73200,25100,97%,21000,55600
491,William Paterson University of New Jersey,"Wayne, NJ",990/NA,29400,16700,68%,24500,47800
492,Sarah Lawrence College,"Bronxville, NY",1290/29,72000,35300,97%,13500,47600
